denominazione,provincia,codice_istat,popolazione
Motta Sant'Anastasia,CT,087030,11394
Corleone,PA,082034,11286
Belmonte Mezzagno,PA,082009,11149
Randazzo,CT,087038,11108
Taormina,ME,083097,11084
Capaci,PA,082020,11030
Mussomeli,CL,085012,11010
Casteldaccia,PA,082023,10884
Salemi,TP,081018,10871
Partanna,TP,081015,10854
Ramacca,CT,087037,10775
Santa Flavia,PA,082067,10751
Trecastagni,CT,087050,10482
Campobello di Licata,AG,084010,10438
Trabia,PA,082073,10360
Altofonte,PA,082005,10266
Sant'Agata li Battiati,CT,087045,9829
Fiumefreddo di Sicilia,CT,087016,9690
Troina,EN,086018,9628
Acate,RG,088001,9574
Aragona,AG,084003,9493
Santa Croce Camerina,RG,088010,9452
Giardini-Naxos,ME,083032,9268
Zafferana Etnea,CT,087055,9249
Santa Teresa di Riva,ME,083089,9240
Castelbuono,PA,082022,9161
Palazzolo Acreide,SR,089015,9091
Sortino,SR,089019,8907
Villafranca Tirrena,ME,083105,8748
Misiliscemi,TP,081025,8669
San Giuseppe Jato,PA,082064,8511
Agira,EN,086001,8484
Casteltermini,AG,084012,8422
Santa Venerina,CT,087048,8351
Racalmuto,AG,084029,8345
Caccamo,PA,082014,8295
Chiaramonte Gulfi,RG,088002,8224
Valguarnera Caropepe,EN,086019,8182
Viagrande,CT,087053,8155
San Giovanni Gemini,AG,084036,8127
Naro,AG,084026,8103
Solarino,SR,089018,7853
Militello in Val di Catania,CT,087025,7807
Petrosino,TP,081024,7760
Valverde,CT,087052,7714
Pantelleria,TP,081014,7493
Altavilla Milicia,PA,082004,7429
Torregrotta,ME,083098,7426
Regalbuto,EN,086016,7388
Santa Maria di Licodia,CT,087047,7322
Sommatino,CL,085019,7267
Pietraperzia,EN,086015,7227
Terme Vigliatore,ME,083106,7213
Canicattini Bagni,SR,089005,7186
Nicolosi,CT,087031,7156
Gioiosa Marea,ME,083033,7114
San Pietro Clarenza,CT,087044,7102
Isola delle Femmine,PA,082043,7100
San Filippo del Mela,ME,083077,7065
Gangi,PA,082036,7063
Borgetto,PA,082013,7021
Lercara Friddi,PA,082045,6935
Campofelice di Roccella,PA,082017,6918
Marineo,PA,082046,6779
Calatafimi-Segesta,TP,081003,6738
Tortorici,ME,083099,6732
Santa Margherita di Belice,AG,084038,6544
Rometta,ME,083076,6541
Montelepre,PA,082050,6421
Balestrate,PA,082007,6413
Vizzini,CT,087054,6409
Pace del Mela,ME,083064,6388
Cammarata,AG,084009,6275
Serradifalco,CL,085018,6265
Sambuca di Sicilia,AG,084034,6114
Lampedusa e Linosa,AG,084020,6105
Piana degli Albanesi,PA,082057,6010
Grotte,AG,084018,5839
Brolo,ME,083007,5826
Acquedolci,ME,083107,5744
Santa Caterina Villarmosa,CL,085017,5727
Centuripe,EN,086007,5599
San Cipirello,PA,082063,5478
Linguaglossa,CT,087021,5416
Custonaci,TP,081007,5392
Cerda,PA,082028,5391
